count,OAREA,OCITY,OPROV,DAREA,DCITY,DPROV
0.05258249808577212,姑苏区,苏州市,江苏省,普陀区,上海市,上海市
0.02588132349223536,吴江区,苏州市,江苏省,普陀区,上海市,上海市
0.03960452942246481,常熟市,苏州市,江苏省,普陀区,上海市,上海市
0.019825733788165868,张家港市,苏州市,江苏省,普陀区,上海市,上海市
0.2649031300194689,昆山市,苏州市,江苏省,普陀区,上海市,上海市
0.17051526818630447,太仓市,苏州市,江苏省,普陀区,上海市,上海市
0.02708722534188908,崇川区,南通市,江苏省,普陀区,上海市,上海市
0.0,港闸区,南通市,江苏省,普陀区,上海市,上海市
0.011198245459096545,通州区,南通市,江苏省,普陀区,上海市,上海市
0.021805130310772306,如东县,南通市,江苏省,普陀区,上海市,上海市
0.058197259102746084,启东市,南通市,江苏省,普陀区,上海市,上海市
0.01447911326154161,如皋市,南通市,江苏省,普陀区,上海市,上海市
0.03145470996856838,海门市,南通市,江苏省,普陀区,上海市,上海市
0.02904188825442152,海安市,南通市,江苏省,普陀区,上海市,上海市
0.0,广陵区,扬州市,江苏省,普陀区,上海市,上海市
0.0,邗江区,扬州市,江苏省,普陀区,上海市,上海市
0.0,江都区,扬州市,江苏省,普陀区,上海市,上海市
0.029737940535280786,宝应县,扬州市,江苏省,普陀区,上海市,上海市
0.0,仪征市,扬州市,江苏省,普陀区,上海市,上海市
0.01371821023409511,高邮市,扬州市,江苏省,普陀区,上海市,上海市
0.0,京口区,镇江市,江苏省,普陀区,上海市,上海市
0.01830593871196457,润州区,镇江市,江苏省,普陀区,上海市,上海市
0.015596351556453364,丹徒区,镇江市,江苏省,普陀区,上海市,上海市
0.019000942147948962,丹阳市,镇江市,江苏省,普陀区,上海市,上海市
0.0,扬中市,镇江市,江苏省,普陀区,上海市,上海市
0.014854724934211104,句容市,镇江市,江苏省,普陀区,上海市,上海市
0.0,海陵区,泰州市,江苏省,普陀区,上海市,上海市
0.0,高港区,泰州市,江苏省,普陀区,上海市,上海市
0.008073223800266672,姜堰区,泰州市,江苏省,普陀区,上海市,上海市
0.008739187093961018,兴化市,泰州市,江苏省,普陀区,上海市,上海市
0.02085817145347544,靖江市,泰州市,江苏省,普陀区,上海市,上海市
0.02307483188192718,泰兴市,泰州市,江苏省,普陀区,上海市,上海市
1.190877376843361,黄浦区,上海市,上海市,虹口区,上海市,上海市
0.5184849386050051,徐汇区,上海市,上海市,虹口区,上海市,上海市
0.5193918068914317,长宁区,上海市,上海市,虹口区,上海市,上海市
2.9264057739454965,静安区,上海市,上海市,虹口区,上海市,上海市
0.7588948975103063,普陀区,上海市,上海市,虹口区,上海市,上海市
6.288310169255872,杨浦区,上海市,上海市,虹口区,上海市,上海市
0.33999050213811194,闵行区,上海市,上海市,虹口区,上海市,上海市
1.7007031609453263,宝山区,上海市,上海市,虹口区,上海市,上海市
0.34974804418545585,嘉定区,上海市,上海市,虹口区,上海市,上海市
1.2822568744982945,浦东新区,上海市,上海市,虹口区,上海市,上海市
0.08773915090843776,金山区,上海市,上海市,虹口区,上海市,上海市
0.23488618187599924,松江区,上海市,上海市,虹口区,上海市,上海市
0.17216552799322604,青浦区,上海市,上海市,虹口区,上海市,上海市
0.1287816804011954,奉贤区,上海市,上海市,虹口区,上海市,上海市
0.6003045159150907,崇明区,上海市,上海市,虹口区,上海市,上海市
0.0,玄武区,南京市,江苏省,虹口区,上海市,上海市
0.0,秦淮区,南京市,江苏省,虹口区,上海市,上海市
0.0,建邺区,南京市,江苏省,虹口区,上海市,上海市
0.0,鼓楼区,南京市,江苏省,虹口区,上海市,上海市
0.0,浦口区,南京市,江苏省,虹口区,上海市,上海市
0.0,栖霞区,南京市,江苏省,虹口区,上海市,上海市
0.0,雨花台区,南京市,江苏省,虹口区,上海市,上海市
0.0,江宁区,南京市,江苏省,虹口区,上海市,上海市
0.0,六合区,南京市,江苏省,虹口区,上海市,上海市
0.0,溧水区,南京市,江苏省,虹口区,上海市,上海市
0.0,锡山区,无锡市,江苏省,虹口区,上海市,上海市
0.0,惠山区,无锡市,江苏省,虹口区,上海市,上海市
0.0,滨湖区,无锡市,江苏省,虹口区,上海市,上海市
0.0,梁溪区,无锡市,江苏省,虹口区,上海市,上海市
0.00758174071071075,新吴区,无锡市,江苏省,虹口区,上海市,上海市
0.0,江阴市,无锡市,江苏省,虹口区,上海市,上海市
0.0,宜兴市,无锡市,江苏省,虹口区,上海市,上海市
0.0,天宁区,常州市,江苏省,虹口区,上海市,上海市
0.0,钟楼区,常州市,江苏省,虹口区,上海市,上海市
0.0,新北区,常州市,江苏省,虹口区,上海市,上海市
0.0,武进区,常州市,江苏省,虹口区,上海市,上海市
